Year,Team,team_dir
2022,Utah Jazz,/teams/UTA/2022.html
2022,Golden State Warriors,/teams/GSW/2022.html
2022,Memphis Grizzlies,/teams/MEM/2022.html
2022,Miami Heat,/teams/MIA/2022.html
2022,Dallas Mavericks,/teams/DAL/2022.html
2022,Milwaukee Bucks,/teams/MIL/2022.html
2022,Philadelphia 76ers,/teams/PHI/2022.html
2022,Toronto Raptors,/teams/TOR/2022.html
2022,Minnesota Timberwolves,/teams/MIN/2022.html
2022,Denver Nuggets,/teams/DEN/2022.html
2022,Cleveland Cavaliers,/teams/CLE/2022.html
2022,Atlanta Hawks,/teams/ATL/2022.html
2022,Brooklyn Nets,/teams/BRK/2022.html
2022,Charlotte Hornets,/teams/CHO/2022.html
2022,New York Knicks,/teams/NYK/2022.html
2022,Los Angeles Clippers,/teams/LAC/2022.html
2022,San Antonio Spurs,/teams/SAS/2022.html
2022,Chicago Bulls,/teams/CHI/2022.html
2022,New Orleans Pelicans,/teams/NOP/2022.html
2022,Los Angeles Lakers,/teams/LAL/2022.html
2022,Indiana Pacers,/teams/IND/2022.html
2022,Washington Wizards,/teams/WAS/2022.html
2022,Sacramento Kings,/teams/SAC/2022.html
2022,Detroit Pistons,/teams/DET/2022.html
2022,Orlando Magic,/teams/ORL/2022.html
2022,Oklahoma City Thunder,/teams/OKC/2022.html
2022,Houston Rockets,/teams/HOU/2022.html
2022,Portland Trail Blazers,/teams/POR/2022.html
